team,actual_pts,expected_pts_so_far,over_under,F_raw,expected_pts_remaining_baseline,Projection_baseline,Projection_F,Projection_F_winsor_shrink
Paris Saint-Germain,9,2.778,6.222,3.24,8.722,17.722,24.0,19.358
Bayern Munich,9,4.444,4.556,2.025,7.056,16.056,21.019,17.378
Arsenal,9,4.722,4.278,1.906,6.778,15.778,20.665,17.049
Real Madrid,9,4.722,4.278,1.906,6.778,15.778,20.665,17.049
Inter Milan,9,4.917,4.083,1.831,6.583,15.583,20.034,16.818
Chelsea,6,3.722,2.278,1.612,7.778,13.778,18.0,15.236
Liverpool,6,3.778,2.222,1.588,7.722,13.722,17.779,15.17
Manchester City,7,4.444,2.556,1.575,7.056,14.056,17.656,15.378
Borussia Dortmund,7,4.75,2.25,1.474,6.75,13.75,16.947,14.949
Newcastle United,6,4.444,1.556,1.35,7.056,13.056,15.525,13.982
Galatasaray,6,4.444,1.556,1.35,7.056,13.056,15.525,13.982
Qarabag,6,4.75,1.25,1.263,6.75,12.75,14.526,13.416
Tottenham Hotspur,5,4.25,0.75,1.176,7.25,12.25,13.529,12.73
Barcelona,6,5.111,0.889,1.174,6.389,12.389,13.5,12.806
Sporting CP,6,5.5,0.5,1.091,6.0,12.0,12.545,12.205
Atlético Madrid,3,2.778,0.222,1.08,8.722,11.722,12.42,11.984
Atalanta,4,3.722,0.278,1.075,7.778,11.778,12.358,11.995
Club Brugge,3,3.75,-0.75,0.8,7.75,10.75,9.2,10.169
PSV Eindhoven,4,5.028,-1.028,0.796,6.472,10.472,9.149,9.976
Marseille,3,3.917,-0.917,0.766,7.583,10.583,8.809,9.918
Napoli,3,3.917,-0.917,0.766,7.583,10.583,8.809,9.918
Athletic Bilbao,3,4.028,-1.028,0.745,7.472,10.472,8.566,9.757
Eintracht Frankfurt,3,4.75,-1.75,0.632,6.75,9.75,7.263,8.906
Juventus,2,3.167,-1.167,0.632,8.333,10.333,7.263,9.292
Slavia Prague,2,3.444,-1.444,0.581,8.056,10.056,6.677,9.049
Union Saint-Gilloise,3,5.222,-2.222,0.574,6.278,9.278,6.606,8.493
Monaco,2,4.444,-2.444,0.45,7.056,9.056,5.175,8.174
Pafos,2,4.639,-2.639,0.431,6.861,8.861,4.958,8.003
Bodø/Glimt,2,4.917,-2.917,0.407,6.583,8.583,4.678,7.76
Bayer Leverkusen,2,5.111,-3.111,0.391,6.389,8.389,4.5,7.59
Olympiacos,1,3.75,-2.75,0.267,7.75,8.75,3.067,7.781
Villarreal,1,4.25,-3.25,0.235,7.25,8.25,2.706,7.344
Copenhagen,1,4.444,-3.444,0.225,7.056,8.056,2.588,7.174
Kairat,1,5.222,-4.222,0.191,6.278,7.278,2.202,6.493
Ajax,0,3.639,-3.639,0.0,7.861,7.861,0.0,6.878
Benfica,0,4.417,-4.417,0.0,7.083,7.083,0.0,6.198
